The Rains of Castamere	The National	Game of Thrones: Season 2 (Music from the HBO Series)
Frog's Theme (From "Chrono Trigger")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Gotham Main Theme	Geek Music	Gotham Main Theme - Single
Lucca's Theme (From "Chrono Trigger")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Pokémon Title Theme (From "Pokémon Red/Blue")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Ingress	Ace Waters & RichaadEB	Determination
The Drunken Whaler (Full Version)	Copilot Strategic Sound + Music	Dishonored (Original Game Soundtrack)
Look Who's Talking (Bonus Track)	Megadeth	Dystopia (Bonus Track Version)
John the Revelator	Curtis Stigers & The Forest Rangers	Songs of Anarchy (Music from Sons of Anarchy Seasons 1-4)
Access Adrenalin	Beatsteaks	Boombox (Deluxe Version)
Above the Magma	Ace Waters & RichaadEB	Determination
Guile's Theme (From "Street Fighter II")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Flight	Tristam & Braken	Monstercat 012 - Aftermath
Run of Show (feat. FamilyJules7x)	Ace Waters & RichaadEB	Determination
It's an Ultimatum	Sonya Belousova & Giona Ostinelli	The Witcher (Music from the Netflix Original Series)
Sweden (From "Minecraft")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Honor for All (End Credits)	Jon Licht & Daniel Licht	Dishonored (Original Game Soundtrack)
Tetris a Theme (From "Tetris")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Dungeon Siege Theme (From "Dungeon Siege")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Medal of Honor: Frontline Theme (From "Medal of Honor: Frontline")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Ending Theme (From "Legend of Zelda Ocarina of Time")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Far Horizons (From "the Elder Scrolls V: Skyrim")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Whirlwind (2005 Remastered Version)	New Model Army	Original Album Series
Bury the Hatchet (2005 Remastered Version)	New Model Army	Original Album Series
Ken's Theme (From "Street Fighter II")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Alright	Beatsteaks	Boombox (Deluxe Version)
With a Little Help from My Friends	Puddle of Mudd	Re(Disc)overed
The Drunken Whaler	Copilot Strategic Sound + Music	Dishonored (Original Game Soundtrack)
The Monster	Johari & Poh Hock	The Monster - Single
Traverse Town (From "Kingdom Hearts")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Numb / Encore	JAY-Z & LINKIN PARK	Collision Course - EP
The Other Side	Hugh Jackman & Zac Efron	The Greatest Showman (Original Motion Picture Soundtrack)
Corridors of Time (From "Chrono Trigger")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Lavender Town	Skotein	Pokémon Reorchestrated: Kanto Symphony
Digby Vermouth - Supernova Dreamsicle	Raison Varner & Julian Peterson	Borderlands 3 (Original Soundtrack)
Aria mit 30 Veränderungen, BWV 988 "Goldberg Variations": Aria da Capo (Live)	András Schiff	Bach: Goldberg Variations BWV 988 (Live)
Night Surgeon	Bill Moseley, Paul Sorvino, Anthony Stewart Head & Ogre	Repo! The Genetic Opera (Original Motion Picture Soundtrack) [Deluxe Edition]
Heart of Fire (From "Castlevania")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Silent Running (From the "Assassin's Creed Syndicate - Twins" Video Game Trailer) [Acoustic Cover Version]	Joy Pad Orchestra	Silent Running (From the "Assassin's Creed Syndicate - Twins" Video Game Trailer) [Acoustic Cover Version] - Single
Prelude / Prologue (From "Final Fantasy")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Star Wolf (From "Star Fox 64")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Dam Interior	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
The End	Ace Waters & RichaadEB	Determination
Lake of Rage (From "Pokémon Gold/Silver")	FamilyJules7x	Video Game Guitar Covers, Vol. 3
Onett (EarthBound) [Tribute to Satoru Iwata]	GENTLE LOVE	Prescription for Peace: A Tribute to the Departed - Single
Blazko Kill Them All	Mick Gordon	Wolfenstein II: The New Colossus Original Game Soundtrack
Tundra Express	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Behaviour	Beatsteaks	Boombox (Deluxe Version)
Fix It	Beatsteaks	Boombox (Deluxe Version)
Dance Monkey (Metal Version) [feat. Hannah Boulton & Rabea Massaad]	Leo	Leo Metal, Vol. 27
Vanity (2005 Remastered Version)	New Model Army	Original Album Series
Still Alive	GLaDOS & Jonathan Coulton	The Orange Box (Original Soundtrack)
Crater Lake	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Nascency	Ace Waters & RichaadEB	Determination
Stay the Course	Ace Waters & RichaadEB	Determination
Arachnophilia	Ace Waters & RichaadEB	Determination
The Hunter (From "Bloodborne")	Joy Pad Orchestra	The Hunter (From "Bloodborne") [Cover Version] - Single
Warrior Boss	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Vog Chamber	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
An Evening with the Unhallowed	Ace Waters & RichaadEB	Determination
Catharsis	Ace Waters & RichaadEB	Determination
Summer Jam 2011 (Nightcore Edit)	BreakBoy & Ced Tecknoboy	Nightcore
Overworld Adventure (From "the Legend of Zelda: Spirit Tracks")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Another Brick In the Wall, Pts. 1-3	Korn	The Essential Korn
Last Dying Wish (Bonus Track)	Megadeth	Dystopia (Bonus Track Version)
Esoteric	Ace Waters & RichaadEB	Determination
Jack Final Boss	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Hyperion	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Run	ShockOne & The Bloody Beetroots	Monstercat Uncaged Vol. 7
Title Card	Pedro Bromfman, Gavin Greenaway & Everton Nelson	RoboCop
Chase the Morning	Alexa Vega, Sarah Brightman & Nancy Long	Repo! The Genetic Opera (Original Motion Picture Soundtrack) [Deluxe Edition]
Love Crime from the Wrath of the Lamb (feat. Siouxsie Sioux)	Brian Reitzell	Hannibal Season 3, Vol. 2 (Original Television Soundtrack)
Desperation	Ace Waters & RichaadEB	Determination
Nihilist (feat. ThunderScott)	Ace Waters & RichaadEB	Determination
Such a Friendly Town (feat. ThunderScott)	Ace Waters & RichaadEB	Determination
Electric Balboa	Ace Waters & RichaadEB	Determination
Tetris B Theme (From "Tetris")	FamilyJules7x	Video Game Guitar Covers, Vol. 2
Hyrule Field (From "the Legend of Zelda: Ocarina of Time") [feat. CSGuitar89]	FamilyJules	Video Game Guitar Covers, Vol. 1
Psychological Recovery... 6 Months.	Hans Zimmer	Sherlock Holmes (Original Motion Picture Soundtrack)
It's All over but the Crying	The Ink Spots	Nostalgia - Superstar Files (75 Original Recordings)
6_idkill.Vega.Cih	Mick Gordon & Chris Hite	Doom (Original Game Soundtrack)
Let the Monster Rise	Alexa Vega & Anthony Stewart Head	Repo! The Genetic Opera (Original Motion Picture Soundtrack) [Deluxe Edition]
Ascent	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Penultimate	Ace Waters & RichaadEB	Determination
Reflection	Ace Waters & RichaadEB	Determination
HoI!	Ace Waters & RichaadEB	Determination
B-Side Wins Again	Dave Lombardo & DJ Spooky	B-Side Wins Again - EP
A Watchful Guardian	Hans Zimmer & James Newton Howard	The Dark Knight (Collectors Edition) [Original Motion Picture Soundtrack]
Listen to Your Heart (Metal Version) [feat. Violet Orlandi]	Leo	Listen to Your Heart (Metal Version) [feat. Violet Orlandi] - Single
Lynchwood	Sascha Dikiciyan & Cris Velasco	Borderlands 2: Complete (Original Soundtrack)
Like Snowflakes	Ace Waters & RichaadEB	Determination
Depeche Mode Enjoy The Silence Relake 2	 Bj	Sprachmemos
Depeche Mode Enjoy The Silence Variation 1	 Bj	Sprachmemos
Goldberg Variations, BWV 988 (1981 Recording): Aria da capo	Glenn Gould	Bach: Goldberg Variations, BWV 988 (The 1955 & 1981 Recordings)
Olivia's Doom (Chad Mossholder Remix)	Mick Gordon & Chad Mossholder	Doom (Original Game Soundtrack)
Have You Ever Heard of a Talking Flower?	Ace Waters & RichaadEB	Determination
Stabwound	Angerfist & Body-Shock	Creed of Chaos
Dear Clarice	Anthony Hopkins, Libera, The Lyndhurst Orchestra & Gavin Greenaway	Hannibal - Original Motion Picture Soundtrack
Dishonored re 1	 Bj	Sprachmemos
Dishonored re 2	 Bj	Sprachmemos
Drunke Whaler Trailer	 Bj	Sprachmemos
Neue Aufnahme	 Bj	Sprachmemos
Neue Aufnahme 2	 Bj	Sprachmemos
Neue Aufnahme 3	 Bj	Sprachmemos
Neue Aufnahme 4	 Bj	Sprachmemos
Neue Aufnahme 5	 Bj	Sprachmemos
Neue Aufnahme 6	 Bj	Sprachmemos
Secret Of Mana	 Bj	Sprachmemos
The Unvorgiven Test	 Bj	Sprachmemos
The Shape Returns	John Carpenter, Cody Carpenter & Daniel Davies	Halloween (Original Motion Picture Soundtrack)
If the World Was to End	Lower Than Atlantis	Changing Tune (Deluxe Edition)
In the House In a Heartbeat	Metro Exodus & Feel For Music	In the House In a Heartbeat - Single
